Symbol,Description
ABBA,PT Mahaka Media Tbk
ABDA,PT Asuransi Bina Dana Arta Tbk Class A
ABMM,PT ABM Investama Tbk
ADES,PT Akasha Wira International Tbk
ADMF,PT Adira Dinamika Multi Finance Tbk
ADMG,PT Polychem Indonesia Tbk
AGAR,PT Asia Sejahtera Mina Tbk
AGII,PT Samator Indo Gas Tbk
AIMS,PT Artha Mahiya Investama Tbk
AKKU,PT Anugerah Kagum Karya Utama Tbk
AKPI,PT Argha Karya Prima Industry Tbk
AKSI,PT Mineral Sumberdaya Mandiri Tbk
ALDO,PT Alkindo Naratama Tbk
ALKA,"PT Alakasa Industrindo, Tbk Class A"
AMAG,PT Asuransi Multi Artha Guna Tbk
AMAR,PT Bank Amar Indonesia Tbk
AMFG,PT Asahimas Flat Glass Tbk
AMIN,PT Ateliers Mecaniques D'Indonesie Tbk
AMOR,PT Ashmore Asset Management Indonesia Tbk
ANJT,PT Austindo Nusantara Jaya Tbk
APIC,PT Pacific Strategic Financial Tbk Class A
APII,PT Arita Prima Indonesia Tbk
APLI,PT Asiaplast Industries Tbk
AREA,PT Dunia Virtual Online Tbk
ARGO,PT Argo Pantes Tbk
ARII,PT Atlas Resources Tbk
ARKA,PT Arkha Jayanti Persada Tbk
ARKO,PT Arkora Hydro Tbk
ARTA,PT Arthavest Tbk
ASBI,PT Asuransi Bintang Tbk
ASDM,PT Asuransi Dayin Mitra Tbk
ASGR,PT Astra Graphia Tbk
ASJT,PT Asuransi Jasa Tania Tbk
ASMI,PT Asuransi Maximus Graha Persada Tbk
ASPI,PT Andalan Sakti Primaindo Tbk
ASRM,PT Asuransi Ramayana Tbk
ATAP,PT Trimitra Prawara Goldland Tbk
ATIC,PT Anabatic Technologies Tbk
BALI,PT Bali Towerindo Sentra Tbk
BATA,PT Sepatu Bata Tbk
BATR,PT Benteng Api Technic Tbk
BAUT,PT Mitra Angkasa Sejahtera Tbk
BAYU,PT Bayu Buana Tbk
BBHI,PT Allo Bank Indonesia Tbk
BBLD,PT Buana Finance Tbk
BBMD,PT Bank Mestika Dharma Tbk
BBSI,PT Krom Bank Indonesia Tbk
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk
BCIC,PT Bank JTrust Indonesia Tbk
BDMN,PT Bank Danamon Indonesia Tbk Class A
BELI,PT Global Digital Niaga Tbk
BESS,PT Batulicin Nusantara Maritim Tbk
BHAT,PT Bhakti Multi Artha Tbk
BIMA,PT Primarindo Asia Infrastructure Tbk
BINA,PT Bank Ina Perdana Tbk
BIPP,PT Bhuwanatala Indah Permai Tbk Class A
BIRD,PT Blue Bird Tbk
BISI,PT BISI International Tbk
BJBR,PT Bank Pembangunan Daerah Jawa Barat & Banten Tbk
BKDP,PT Bukit Darmo Property Tbk
BLES,PT Superior Prima Sukses Tbk
BLOG,PT Trimitra Trans Persada Tbk
BLTA,PT Berlian Laju Tanker Tbk
BLTZ,PT Graha Layar Prima Tbk Class C
BLUE,PT Berkah Prima Perkasa Tbk
BMAS,PT Bank Maspion Indonesia Tbk
BMSR,PT Bintang Mitra Semestaraya Tbk
BNBA,PT Bank Bumi Arta Tbk
BNGA,PT Bank CIMB Niaga Tbk Class A
BNII,PT Bank Maybank Indonesia Tbk Class A
BNLI,PT Bank Permata Tbk Class A
BOBA,PT Formosa Ingredient Factory Tbk
BOGA,PT Bintang Oto Global Tbk
BOLA,PT Bali Bintang Sejahtera Tbk
BOLT,PT Garuda Metalindo Tbk
BPFI,PT Woori Finance Indonesia Tbk
BPII,PT Batavia Prosperindo Internasional Tbk
BPTR,PT Batavia Prosperindo Trans Tbk
BRAM,PT Indo Kordsa Tbk
BRNA,PT Berlina Tbk
BSIM,PT Bank Sinarmas Tbk
BSSR,PT Baramulti Suksessarana Tbk
BSWD,PT Bank of India Indonesia Tbk
BTON,PT Betonjaya Manunggal Tbk
BTPN,PT Bank SMBC Indonesia Tbk
BUAH,PT Segar Kumala Indonesia Tbk
BUDI,PT Budi Starch & Sweetener Tbk
BUKK,PT Bukaka Teknik Utama Tbk
BYAN,PT Bayan Resources Tbk
CAKK,PT Cahayaputra Asa Keramik Tbk
CAMP,PT Campina Ice Cream Industry Tbk
CANI,PT Capitol Nusantara Indonesia Tbk
CASA,PT Capital Financial Indonesia Tbk
CASH,PT.Cashlez Worldwide Indonesia Tbk
CASS,Cahaya Aero Services Tbk
CBPE,PT Citra Buana Prasida Tbk
CBUT,PT Citra Borneo Utama Tbk
CCSI,PT Communication Cable Systems Indonesia Tbk
CEKA,PT Wilmar Cahaya Indonesia Tbk
CFIN,PT Clipan Finance Indonesia Tbk
CHIP,PT Pelita Teknologi Global Tbk
CITA,PT Cita Mineral Investindo Tbk
CLAY,PT Citra Putra Realty Tbk
CLPI,PT Colorpak Indonesia Tbk
CMNP,PT Citra Marga Nusaphala Persada Tbk
CMPP,PT AirAsia Indonesia Tbk
CRAB,PT Toba Surimi Industries Tbk
CSAP,PT Catur Sentosa Adiprana Tbk
CSRA,PT Cisadane Sawit Raya Tbk
CTBN,PT Citra Tubindo Tbk
DAAZ,PT Daaz Bara Lestari Tbk
DART,PT Duta Anggada Realty Tbk
DAYA,PT Duta Intidaya Tbk
DCII,PT DCI Indonesia Tbk
DEPO,PT Caturkarda Depo Bangunan Tbk
DIGI,PT Arkadia Digital Media Tbk
DIVA,PT Distribusi Voucher Nusantara Tbk
DLTA,PT Delta Djakarta Tbk
DMMX,PT Digital Mediatama Maxima Tbk
DMND,PT Diamond Food Indonesia Tbk
DNET,PT Indoritel Makmur Internasional Tbk
DOID,PT BUMA Internasional Grup Tbk
DOSS,PT Global Sukses Digital Tbk
DRMA,PT Dharma Polimetal Tbk
DUTI,PT Duta Pertiwi Tbk
DVLA,PT Darya-Varia Laboratoria Tbk
DYAN,PT Dyandra Media International Tbk
EAST,PT Eastparc Hotel Tbk
ECII,PT Electronic City Indonesia Tbk
EDGE,PT Indointernet Tbk
EKAD,PT Ekadharma International Tbk
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk
ENAK,PT Champ Resto Indonesia Tbk
ENZO,PT Morenzo Abadi Perkasa Tbk
EPAC,PT Megalestari Epack Sentosaraya Tbk
EPMT,PT Enseval Putera Megatrading Tbk
ERTX,PT Eratex Djaja Tbk
ESTI,PT Ever Shine Textile Tbk
EURO,PT Estee Gold Feet Tbk
FAPA,PT FAP Agri Tbk
FISH,PT FKS Multi Agro Tbk
FITT,PT Hotel Fitra International Tbk
FMII,PT Fortune Mate Indonesia Tbk
FOOD,PT Sentra Food Indonesia Tbk
FORU,"PT Fortune Indonesia, Tbk"
FUJI,PT Fuji Finance Indonesia Tbk.
GDST,PT Gunawan Dianjaya Steel Tbk
GDYR,PT Goodyear Indonesia Tbk
GEMS,PT Golden Energy Mines Tbk
GHON,PT Gihon Telekomunikasi Indonesia
GLVA,PT Galva Technologies Tbk
GMTD,PT Gowa Makassar Tourism Development Tbk
GOLD,PT Visi Telekomunikasi Infrastruktur Tbk
GOLF,PT Intra Golflink Resorts Tbk
GOOD,PT Garudafood Putra Putri Jaya Tbk
GRPM,PT Graha Prima Mentari Tbk
GTBO,PT Garda Tujuh Buana Tbk
GULA,PT Aman Agrindo Tbk
GUNA,PT Gunanusa Eramandiri Tbk
GWSA,PT Greenwood Sejahtera Tbk
HADE,PT Himalaya Energi Perkasa Tbk
HBAT,PT Minahasa Membangun Hebat Tbk
HDFA,PT Radana Bhaskara Finance Tbk
HELI,PT Jaya Trishindo Tbk
HERO,PT DFI Retail Nusantara Tbk
HEXA,PT Hexindo Adiperkasa Tbk
HOMI,PT Grand House Mulia Tbk
HRME,PT Menteng Heritage Realty Tbk
HYGN,PT Ecocare Indo Pasifik Tbk
IBFN,PT Intan Baru Prana Tbk
IBST,PT Inti Bangun Sejahtera Tbk
ICON,PT Island Concepts Indonesia Tbk
IDPR,PT Indonesia Pondasi Raya Tbk
IFII,PT Indonesia Fibreboard Industry Tbk
IFSH,PT Ifishdeco Tbk
IGAR,PT Champion Pacific Indonesia Tbk
IKBI,PT Sumi Indo Kabel Tbk
IKPM,PT Ikapharmindo Putramas Tbk
IMAS,PT Indomobil Sukses Internasional Tbk
INAI,PT Indal Aluminium Industry Tbk
INCF,PT Indo Komoditi Korpora Tbk Class A
INCI,PT Intanwijaya Internasional Tbk
INDR,PT Indo-Rama Synthetics Tbk
INDS,PT Indospring Tbk
INPP,PT Indonesian Paradise Property Tbk
INPS,PT Indah Prakasa Sentosa Tbk
INRU,PT Toba Pulp Lestari Tbk
INTA,PT Intraco Penta Tbk
INTD,PT Inter-Delta Tbk
INTP,PT Indocement Tunggal Prakarsa Tbk
IPAC,PT Era Graharealty Tbk
IPCC,PT Indonesia Kendaraan Terminal Tbk
IPCM,PT Jasa Armada Indonesia Tbk
IPOL,PT Indopoly Swakarsa Industry Tbk
IRRA,PT Itama Ranoraya Tbk
ISSP,PT Steel Pipe Industry of Indonesia Tbk
JAYA,PT Armada Berjaya Trans Tbk
JECC,PT Jembo Cable Co. Tbk
JIHD,PT Jakarta International Hotels & Development Tbk
JRPT,PT Jaya Real Property Tbk
JSPT,PT Jakarta Setiabudi Internasional Tbk
JTPE,PT Jasuindo Tiga Perkasa Tbk
KAEF,PT Kimia Farma Tbk Class B
KARW,PT Meratus Jasa Prima Tbk
KBAG,PT Karya Bersama Anugerah Tbk
KBLI,PT KMI Wire & Cable Tbk Class A
KBLM,PT Kabelindo Murni Tbk Class A
KDSI,PT Kedawung Setia Industrial Tbk
KEJU,PT Mulia Boga Raya Tbk
KICI,PT Kedaung Indah Can Tbk
KING,PT Hoffmen Cleanindo Tbk
KINO,PT Kino Indonesia Tbk
KKES,PT Kusuma Kemindo Sentosa Tbk
KLIN,PT Klinko Karya Imaji Tbk
KMDS,PT Kurniamitra Duta Sentosa Tbk
KMTR,PT Kirana Megatara Tbk
KOIN,PT Kokoh Inti Arebama Tbk
KONI,PT Perdana Bangun Pusaka Tbk
KOPI,PT Mitra Energi Persada Tbk
KSIX,PT Kentanix Supra International Tbk
LABS,PT UBC Medical Indonesia Tbk
LAND,PT Trimitra Propertindo Tbk
LCKM,PT LCK Global Kedaton Tbk
LFLO,PT Imago Mulia Persada Tbk
LIFE,PT MSIG Life Insurance Indonesia Tbk
LINK,PT Link Net Tbk
LION,PT Lion Metal Works Tbk
LMAX,PT Lupromax Pelumas Indonesia Tbk
LMPI,PT Langgeng Makmur Industri Tbk
LPCK,PT Lippo Cikarang Tbk
LPGI,PT Lippo General Insurance Tbk
LPIN,PT Multi Prima Sejahtera Tbk
LPLI,PT Star Pacific Tbk Class A
LPPF,PT Matahari Department Store Tbk Class A
LRNA,PT Eka Sari Lorena Transport Tbk
LTLS,PT Lautan Luas Tbk
LUCY,PT Lima Dua Lima Tiga Tbk
MAPB,PT Map Boga Adiperkasa Tbk
MARI,PT Mahaka Radio Integra Tbk
MASB,PT Bank Multiarta Sentosa Tbk
MBAP,PT Mitrabara Adiperdana Tbk
MBSS,PT Mitrabahtera Segara Sejati Tbk
MCAS,PT M Cash Integrasi Tbk
MCOL,PT Prima Andalan Mandiri Tbk
MDIA,PT Intermedia Capital Tbk
MDIY,PT Daya Intiguna Yasa Tbk
MDKI,PT Emdeki Utama Tbk
MEGA,PT Bank Mega Tbk
MERI,PT Merry Riana Edukasi Tbk
MERK,PT Merck Tbk
MGLV,PT Panca Anugrah Wisesa Tbk
MICE,PT Multi Indocitra Tbk
MINE,PT Sinar Terang Mandiri TBK
MITI,PT Mitra Investindo Tbk Class A
MKAP,PT Multikarya Asia Pasifik Raya Tbk
MKPI,PT Metropolitan Kentjana Tbk
MKTR,PT Menthobi Karyatama Raya Tbk
MLBI,PT Multi Bintang Indonesia Tbk
MLIA,PT Mulia Industrindo Tbk
MLPT,PT Multipolar Technology Tbk
MPMX,PT Mitra Pinasthika Mustika Tbk
MPRO,PT Maha Properti Indonesia Tbk
MRAT,PT Mustika Ratu Tbk
MREI,PT Maskapai Reasuransi Indonesia Tbk
MSTI,PT Mastersystem Infotama Tbk
MTLA,PT Metropolitan Land Tbk
MTMH,PT Murni Sadar Tbk
MTWI,PT Malacca Trust Wuwungan Insurance Tbk
MYOH,PT Samindo Resources Tbk
NASA,PT Andalan Perkasa Abadi Tbk
NELY,PT Pelayaran Nelly Dwi Putri Tbk
NETV,PT MDTV Media Technologies Tbk
NFCX,PT NFC Indonesia Tbk
NICE,PT Adhi Kartiko Pratama Tbk
NICK,PT Charnic Capital Tbk
NISP,PT Bank OCBC NISP Tbk
NOBU,PT Bank Nationalnobu Tbk
OBAT,PT Brigit Biofarmaka Teknologi Tbk
OBMD,PT OBM Drilchem Tbk
OMRE,PT Indonesia Prima Property Tbk
PALM,PT Provident Investasi Bersama Tbk
PANR,PT Panorama Sentrawisata Tbk
PANS,PT Panin Sekuritas Tbk
PBID,PT Panca Budi Idaman Tbk
PBSA,PT Paramita Bangun Sarana Tbk
PCAR,PT Prima Cakrawala Abadi Tbk
PDES,PT Destinasi Tirta Nusantara Tbk
PDPP,PT Primadaya Plastisindo Tbk
PEHA,PT Phapros Tbk
PEVE,PT Penta Valent Tbk
PGJO,PT Bahtera Bumi Raya Tbk
PGUN,PT Pradiksi Gunatama Tbk
PJAA,PT Pembangunan Jaya Ancol Tbk
PKPK,PT Paragon Karya Perkasa Tbk
PMJS,PT Putra Mandiri Jembar Tbk
PNGO,PT Pinago Utama Tbk
PNIN,PT Paninvest Tbk
PNSE,PT Pudjiadi & Sons Tbk
POLA,PT Pool Advista Finance Tbk
POLI,PT Pollux Hotels Group Tbk
POLU,PT Golden Flower Tbk
POLY,PT Asia Pacific Fibers Tbk Class A
PORT,PT Nusantara Pelabuhan Handal Tbk
PRAY,PT Famon Awal Bros Sedaya Tbk
PRDA,PT Prodia Widyahusada Tbk
PSAT,PT Pancaran Samudera Transport Tbk
PSGO,PT Palma Serasih Tbk.
PSSI,PT IMC Pelita Logistik Tbk
PTDU,PT Djasa Ubersakti Tbk
PTIS,PT Indo Straits Tbk
PTPW,PT Pratama Widya Tbk
PTSN,PT Sat Nusapersada Tbk
PTSP,PT Pioneerindo Gourmet International Tbk
PUDP,PT Pudjiadi Prestige Tbk Class A
PZZA,PT Sarimelati Kencana Tbk
RANC,PT Supra Boga Lestari Tbk
RBMS,PT Ristia Bintang Mahkotasejati Tbk
RCCC,PT Utama Radar Cahaya Tbk
RDTX,PT Roda Vivatex Tbk
RELI,PT Reliance Sekuritas Indonesia Tbk
RICY,PT Ricky Putra Globalindo Tbk
RIGS,PT Rig Tenders Indonesia Tbk
ROCK,PT Rockfields Properti Indonesia Tbk
RODA,PT Pikko Land Development Tbk
RONY,PT Aracord Nusantara Group Tbk
ROTI,PT Nippon Indosari Corpindo Tbk
RUIS,PT Radiant Utama Interinsco Tbk
RUNS,PT Global Sukses Solusi Tbk
SAFE,PT Steady Safe Tbk
SAGE,PT Saptausaha Gemilangindah Tbk
SAMF,PT Saraswanti Anugerah Makmur Tbk
SAPX,PT Satria Antaran Prima Tbk
SATU,PT Kota Satu Properti Tbk
SBMA,PT Surya Biru Murni Acetylene Tbk
SCCO,PT Supreme Cable Manufacturing & Commerce Tbk
SCNP,PT Selaras Citra Nusantara Perkasa Tbk
SDPC,PT Millennium Pharmacon International Tbk
SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk
SFAN,PT Surya Fajar Capital Tbk
SHID,PT Hotel Sahid Jaya International Tbk
SHIP,PT Sillo Maritime Perdana Tbk
SILO,PT Siloam International Hospitals Tbk Reg-S
SINI,PT Singaraja Putra Tbk
SIPD,PT Sreeya Sewu Indonesia Tbk Class A
SKBM,PT Sekar Bumi Tbk
SKLT,PT Sekar Laut Tbk
SKRN,PT Superkrane Mitra Utama
SMAR,PT Sinar Mas Agro Resources & Technology Tbk
SMDM,PT Suryamas Dutamakmur Tbk
SMKL,PT Satyamitra Kemas Lestari Tbk
SMMA,PT Sinar Mas Multiartha Tbk Class A
SMMT,PT Golden Eagle Energy Tbk
SMSM,PT Selamat Sempurna Tbk
SOHO,PT Soho Global Health Tbk
SONA,PT Sona Topas Tourism Industry Tbk
SOSS,PT Shield On Service Tbk
SOTS,PT Satria Mega Kencana Tbk
SOUL,PT Mitra Tirta Buwana Tbk
SPMA,PT Suparma Tbk
SPTO,PT Surya Pertiwi Tbk
SRAJ,PT Sejahteraraya Anugrahjaya Tbk
SRTG,PT Saratoga Investama Sedaya Tbk
SSTM,PT Sunson Textile Manufacturer Tbk
STAR,PT Buana Artha Anugerah Tbk
STTP,PT Siantar Top Tbk
SULI,PT SLJ Global Tbk
SUNI,PT Sunindo Pratama Tbk
SURE,PT Super Energy Tbk
TALF,PT Tunas Alfin Tbk
TAMA,PT Lancartama Sejati Tbk
TARA,PT Agung Semesta Sejahtera Tbk
TBIG,PT Tower Bersama Infrastructure Tbk
TBLA,PT Tunas Baru Lampung Tbk
TBMS,PT Tembaga Mulia Semanan Tbk
TCID,PT Mandom Indonesia Tbk
TFAS,PT Telefast Indonesia Tbk
TFCO,"PT Tifico Fiber Indonesia, Tbk"
TGKA,PT Tigaraksa Satria Tbk
TIFA,PT KDB Tifa Finance Tbk
TIRA,PT Tira Austenite Tbk
TIRT,PT Tirta Mahakam Resources Tbk
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk
TLDN,PT Teladan Prima Agro Tbk
TOTO,PT Surya Toto Indonesia Tbk
TPMA,PT Trans Power Marine Tbk
TRGU,PT Cerestar Indonesia Tbk
TRIM,PT Trimegah Sekuritas Indonesia Tbk
TRIS,PT Trisula International Tbk
TRJA,PT Transkon Jaya Tbk
TRST,"PT Trias Sentosa, Tbk"
TRUS,PT Trust Finance Indonesia Tbk
TSPC,PT Tempo Scan Pacific Tbk
TYRE,PT King Tire Indonesia Tbk
UCID,PT Uni-Charm Indonesia Tbk
UDNG,PT Agro Bahari Nusantara Tbk
UFOE,PT Damai Sejahtera Abadi Tbk
UNIC,PT Unggul Indah Cahaya Tbk
UNSP,PT Bakrie Sumatera Plantations Tbk
VAST,PT Vastland Indonesia Tbk
VICI,PT Victoria Care Indonesia Tbk
VICO,PT Victoria Investama Tbk
VINS,PT Victoria Insurance Tbk
VOKS,PT Voksel Electric Tbk
VRNA,PT Mizuho Leasing Indonesia Tbk
WGSH,PT Wira Global Solusi Tbk
WINE,PT Hatten Bali Tbk
WINS,PT Wintermar Offshore Marine Tbk
WOMF,PT Wahana Ottomitra Multiartha Tbk
XSPI,Dana Investasi Real Estat Simas Plaza Indonesia Registered Units
YOII,PT Asuransi Digital Bersama Tbk
YPAS,PT Yanaprima Hastapersada Tbk
YULE,PT Yulie Sekuritas Indonesia Tbk
YUPI,Pt Yupi Indo Jelly Gum Tbk
ZONE,PT Mega Perintis Tbk